500 249500
342 243 841
197 473 248
473 197 248
356 189 209
189 356 209
189 289 981
289 189 981
111 490 704
490 111 704
275 334 747
334 275 747
248 135 283
135 248 283
466 209 713
209 466 713
95 37 157
37 95 157
190 231 998
231 190 998
240 56 599
56 240 599
448 246 160
246 448 160
137 35 493
35 137 493
248 377 197
377 248 197
375 63 944
63 375 944
435 239 44
239 435 44
70 22 34
22 70 34
280 341 95
341 280 95
345 288 485
288 345 485
354 330 716
330 354 716
205 70 773
70 205 773
156 18 519
18 156 519
316 8 406
8 316 406
310 108 636
108 310 636
199 304 771
304 199 771
290 200 341
200 290 341
330 170 794
170 330 794
476 383 730
383 476 730
27 54 425
54 27 425
386 422 76
422 386 76
232 493 264
493 232 264
159 287 701
287 159 701
181 81 868
81 181 868
456 260 526
260 456 526
226 287 433
287 226 433
3 73 649
73 3 649
389 495 77
495 389 77
111 321 661
321 111 661
94 290 866
290 94 866
465 301 653
301 465 653
137 330 952
330 137 952
249 208 530
208 249 530
37 493 533
493 37 533
423 458 572
458 423 572
34 279 234
279 34 234
180 133 82
133 180 82
235 311 770
311 235 770
311 316 186
316 311 186
493 120 436
120 493 436
325 47 36
47 325 36
459 97 967
97 459 967
201 188 944
188 201 944
41 379 786
379 41 786
455 128 888
128 455 888
427 416 294
416 427 294
430 241 841
241 430 841
466 381 236
381 466 236
277 478 203
478 277 203
122 207 756
207 122 756
163 3 989
3 163 989
485 382 367
382 485 367
94 199 760
199 94 760
325 486 850
486 325 850
72 247 901
247 72 901
2 488 95
488 2 95
331 245 200
245 331 200
34 220 907
220 34 907
142 383 262
383 142 262
496 350 166
350 496 166
196 110 991
110 196 991
34 312 62
312 34 62
170 251 741
251 170 741
151 87 744
87 151 744
212 199 373
199 212 373
69 24 208
24 69 208
270 134 831
134 270 831
292 386 572
386 292 572
68 492 654
492 68 654
90 109 579
109 90 579
334 372 161
372 334 161
313 249 373
249 313 373
288 229 192
229 288 192
312 289 999
289 312 999
1 412 134
412 1 134
332 204 520
204 332 520
256 272 364
272 256 364
411 211 430
211 411 430
369 203 21
203 369 21
330 134 707
134 330 707
54 147 21
147 54 21
303 21 737
21 303 737
278 161 319
161 278 319
322 473 108
473 322 108
20 455 158
455 20 158
415 349 191
349 415 191
115 347 581
347 115 581
102 54 988
54 102 988
249 427 643
427 249 643
122 165 921
165 122 921
243 257 944
257 243 944
65 83 465
83 65 465
20 94 394
94 20 394
200 361 243
361 200 243
391 39 656
39 391 656
365 290 623
290 365 623
212 371 725
371 212 725
267 211 827
211 267 827
449 211 776
211 449 776
233 47 520
47 233 520
85 425 809
425 85 809
203 157 732
157 203 732
271 454 766
454 271 766
413 430 979
430 413 979
137 155 598
155 137 598
348 482 996
482 348 996
203 284 208
284 203 208
255 352 859
352 255 859
136 260 246
260 136 246
404 92 762
92 404 762
305 364 568
364 305 568
498 402 766
402 498 766
6 352 115
352 6 115
340 349 670
349 340 670
124 409 650
409 124 650
493 16 854
16 493 854
143 193 728
193 143 728
390 53 692
53 390 692
306 451 361
451 306 361
129 257 583
257 129 583
333 224 423
224 333 423
34 395 900
395 34 900
295 397 393
397 295 393
312 252 450
252 312 450
132 395 643
395 132 643
360 285 196
285 360 196
404 283 841
283 404 841
203 437 461
437 203 461
46 14 442
14 46 442
303 97 275
97 303 275
380 20 662
20 380 662
275 272 457
272 275 457
24 111 966
111 24 966
161 159 870
159 161 870
492 101 236
101 492 236
489 205 576
205 489 576
496 7 269
7 496 269
316 112 293
112 316 293
427 78 954
78 427 954
86 449 251
449 86 251
438 382 283
382 438 283
346 104 127
104 346 127
299 340 414
340 299 414
56 173 328
173 56 328
397 230 256
230 397 256
141 154 908
154 141 908
148 423 724
423 148 724
151 191 522
191 151 522
226 478 888
478 226 888
25 318 654
318 25 654
434 343 334
343 434 334
331 426 942
426 331 942
345 486 584
486 345 584
499 395 584
395 499 584
274 119 697
119 274 697
389 364 64
364 389 64
29 342 444
342 29 444
170 234 992
234 170 992
48 405 998
405 48 998
482 100 685
100 482 685
313 26 627
26 313 627
158 365 211
365 158 211
9 260 796
260 9 796
283 231 493
231 283 493
382 342 771
342 382 771
67 20 288
20 67 288
238 254 280
254 238 280
286 11 630
11 286 630
315 433 138
433 315 138
443 444 3
444 443 3
115 154 237
154 115 237
214 405 882
405 214 882
56 176 998
176 56 998
241 96 518
96 241 518
472 136 791
136 472 791
459 377 591
377 459 591
254 321 594
321 254 594
112 127 562
127 112 562
261 267 430
267 261 430
166 149 487
149 166 487
195 0 80
0 195 80
109 477 347
477 109 347
122 301 336
301 122 336
265 245 436
245 265 436
224 474 27
474 224 27
330 296 974
296 330 974
36 210 991
210 36 991
478 112 714
112 478 714
330 192 357
192 330 357
201 153 686
153 201 686
487 384 393
384 487 393
84 173 469
173 84 469
59 200 300
200 59 300
207 174 743
174 207 743
305 325 563
325 305 563
134 98 731
98 134 731
464 211 797
211 464 797
295 255 155
255 295 155
348 409 841
409 348 841
248 36 681
36 248 681
133 429 117
429 133 117
158 399 676
399 158 676
358 199 383
199 358 383
385 294 217
294 385 217
299 451 42
451 299 42
363 85 993
85 363 993
446 401 204
401 446 204
243 48 459
48 243 459
250 396 720
396 250 720
444 145 757
145 444 757
125 130 186
130 125 186
94 288 85
288 94 85
271 498 284
498 271 284
6 383 930
383 6 930
224 183 381
183 224 381
196 72 667
72 196 667
439 120 127
120 439 127
347 486 866
486 347 866
496 143 57
143 496 57
136 228 828
228 136 828
486 365 687
365 486 687
370 295 411
295 370 411
405 29 881
29 405 881
155 199 993
199 155 993
351 271 660
271 351 660
290 244 139
244 290 139
184 113 339
113 184 339
170 479 295
479 170 295
133 327 790
327 133 790
191 315 19
315 191 19
371 301 236
301 371 236
58 23 383
23 58 383
321 428 912
428 321 912
55 435 964
435 55 964
87 60 429
60 87 429
243 284 627
284 243 627
454 181 460
181 454 460
269 52 684
52 269 684
423 288 594
288 423 594
446 171 268
171 446 268
227 436 823
436 227 823
162 252 723
252 162 723
449 339 635
339 449 635
230 23 687
23 230 687
343 319 782
319 343 782
253 206 561
206 253 561
375 110 245
110 375 245
150 398 840
398 150 840
96 421 108
421 96 108
175 357 283
357 175 283
338 461 6
461 338 6
141 369 676
369 141 676
181 64 847
64 181 847
463 44 646
44 463 646
488 293 252
293 488 252
46 354 627
354 46 627
156 452 277
452 156 277
54 144 225
144 54 225
401 185 887
185 401 887
393 230 800
230 393 800
34 451 828
451 34 828
67 15 675
15 67 675
204 74 770
74 204 770
59 53 426
53 59 426
363 182 833
182 363 833
7 407 161
407 7 161
111 160 198
160 111 198
498 251 697
251 498 697
391 333 849
333 391 849
277 284 677
284 277 677
353 228 211
228 353 211
27 451 916
451 27 916
101 221 327
221 101 327
6 148 690
148 6 690
197 447 994
447 197 994
63 242 901
242 63 901
397 443 678
443 397 678
33 121 375
121 33 375
185 474 103
474 185 103
407 165 806
165 407 806
128 344 312
344 128 312
276 386 352
386 276 352
109 435 151
435 109 151
455 95 611
95 455 611
352 253 175
253 352 175
94 6 424
6 94 424
389 184 809
184 389 809
495 336 867
336 495 867
244 189 774
189 244 774
261 495 903
495 261 903
31 343 511
343 31 511
493 278 663
278 493 663
300 225 626
225 300 626
152 330 153
330 152 153
98 336 929
336 98 929
488 20 739
20 488 739
498 284 234
284 498 234
187 152 330
152 187 330
376 278 943
278 376 943
400 383 65
383 400 65
95 247 58
247 95 58
280 394 461
394 280 461
116 323 949
323 116 949
488 62 800
62 488 800
273 148 487
148 273 487
89 173 527
173 89 527
274 64 993
64 274 993
388 422 443
422 388 443
75 22 599
22 75 599
191 346 900
346 191 900
32 408 700
408 32 700
157 57 539
57 157 539
434 387 107
387 434 107
341 309 898
309 341 898
425 436 103
436 425 103
51 0 448
0 51 448
439 275 244
275 439 244
68 412 819
412 68 819
363 436 912
436 363 912
247 197 964
197 247 964
493 463 531
463 493 531
154 213 462
213 154 462
489 491 898
491 489 898
444 42 899
42 444 899
254 438 808
438 254 808
171 133 214
133 171 214
12 281 349
281 12 349
63 357 277
357 63 277
73 448 507
448 73 507
465 134 33
134 465 33
454 388 971
388 454 971
218 487 555
487 218 555
400 370 229
370 400 229
40 256 593
256 40 593
321 458 488
458 321 488
109 373 846
373 109 846
238 279 806
279 238 806
311 79 313
79 311 313
198 83 454
83 198 454
21 345 539
345 21 539
295 130 609
130 295 609
134 185 361
185 134 361
4 266 901
266 4 901
261 359 723
359 261 723
184 444 45
444 184 45
275 223 851
223 275 851
86 154 516
154 86 516
67 368 566
368 67 566
150 323 588
323 150 588
495 214 883
214 495 883
477 324 17
324 477 17
14 185 874
185 14 874
280 87 487
87 280 487
139 162 558
162 139 558
339 198 2
198 339 2
236 473 77
473 236 77
88 412 231
412 88 231
456 479 452
479 456 452
127 111 977
111 127 977
307 17 215
17 307 215
89 102 142
102 89 142
76 93 656
93 76 656
354 340 169
340 354 169
109 444 501
444 109 501
257 432 551
432 257 551
397 394 291
394 397 291
113 215 346
215 113 346
340 131 263
131 340 263
195 202 310
202 195 310
216 234 227
234 216 227
325 178 80
178 325 80
243 306 385
306 243 385
317 235 650
235 317 650
44 86 97
86 44 97
112 432 800
432 112 800
429 124 783
124 429 783
252 240 674
240 252 674
409 142 634
142 409 634
87 222 877
222 87 877
412 309 129
309 412 129
147 311 424
311 147 424
132 208 10
208 132 10
229 320 294
320 229 294
381 101 418
101 381 418
38 417 886
417 38 886
213 331 194
331 213 194
474 473 180
473 474 180
413 48 409
48 413 409
322 468 989
468 322 989
469 131 414
131 469 414
101 339 424
339 101 424
71 64 261
64 71 261
407 380 498
380 407 498
20 332 555
332 20 555
429 491 415
491 429 415
404 73 795
73 404 795
134 95 209
95 134 209
126 259 507
259 126 507
207 18 739
18 207 739
205 163 684
163 205 684
386 354 455
354 386 455
288 448 156
448 288 156
259 295 620
295 259 620
184 90 790
90 184 790
211 76 737
76 211 737
272 74 755
74 272 755
398 333 615
333 398 615
105 203 354
203 105 354
162 366 39
366 162 39
401 221 494
221 401 494
265 430 751
430 265 751
207 221 962
221 207 962
135 458 87
458 135 87
329 443 599
443 329 599
317 74 858
74 317 858
5 338 407
338 5 407
452 145 377
145 452 377
464 349 914
349 464 914
426 485 724
485 426 724
365 47 290
47 365 290
471 146 893
146 471 893
7 455 211
455 7 211
81 314 601
314 81 601
354 171 439
171 354 439
437 491 737
491 437 737
149 134 282
134 149 282
48 392 672
392 48 672
273 257 219
257 273 219
63 460 514
460 63 514
35 458 407
458 35 407
470 475 580
475 470 580
72 182 103
182 72 103
78 300 287
300 78 287
167 450 773
450 167 773
461 350 307
350 461 307
485 475 65
475 485 65
57 39 877
39 57 877
71 426 336
426 71 336
330 320 602
320 330 602
88 477 215
477 88 215
389 117 882
117 389 882
414 41 862
41 414 862
331 98 901
98 331 901
208 21 679
21 208 679
396 203 851
203 396 851
498 4 351
4 498 351
384 317 170
317 384 170
362 32 559
32 362 559
250 425 451
425 250 451
356 333 838
333 356 838
270 374 701
374 270 701
410 48 189
48 410 189
409 405 892
405 409 892
441 134 777
134 441 777
259 304 991
304 259 991
143 215 174
215 143 174
404 296 158
296 404 158
457 250 482
250 457 482
264 412 179
412 264 179
250 322 728
322 250 728
133 36 525
36 133 525
119 313 136
313 119 136
276 304 779
304 276 779
491 330 690
330 491 690
309 281 756
281 309 756
335 66 660
66 335 660
118 381 911
381 118 911
382 145 90
145 382 90
484 320 818
320 484 818
303 163 780
163 303 780
423 476 916
476 423 916
462 238 55
238 462 55
96 346 390
346 96 390
162 6 22
6 162 22
358 401 92
401 358 92
194 221 910
221 194 910
214 485 257
485 214 257
489 462 525
462 489 525
40 446 573
446 40 573
357 9 232
9 357 232
19 16 606
16 19 606
109 492 362
492 109 362
111 203 115
203 111 115
55 397 688
397 55 688
465 219 164
219 465 164
31 205 773
205 31 773
372 19 299
19 372 299
412 317 224
317 412 224
388 41 935
41 388 935
232 268 610
268 232 610
94 231 813
231 94 813
339 391 859
391 339 859
124 27 266
27 124 266
323 106 506
106 323 506
216 41 904
41 216 904
341 200 21
200 341 21
73 468 631
468 73 631
19 199 444
199 19 444
432 337 7
337 432 7
33 440 789
440 33 789
151 427 628
427 151 628
338 436 763
436 338 763
365 202 938
202 365 938
323 209 154
209 323 154
347 417 986
417 347 986
421 385 970
385 421 970
292 436 414
436 292 414
225 273 421
273 225 421
110 65 562
65 110 562
261 493 542
493 261 542
155 132 380
132 155 380
91 395 98
395 91 98
146 333 921
333 146 921
207 339 138
339 207 138
407 10 459
10 407 459
144 332 604
332 144 604
20 291 271
291 20 271
435 53 616
53 435 616
477 60 748
60 477 748
210 152 995
152 210 995
308 150 828
150 308 828
19 72 881
72 19 881
243 17 124
17 243 124
76 121 56
121 76 56
175 302 262
302 175 262
47 93 533
93 47 533
482 498 501
498 482 501
312 59 249
59 312 249
22 63 244
63 22 244
182 213 424
213 182 424
263 422 943
422 263 943
335 155 500
155 335 500
369 291 326
291 369 326
461 401 90
401 461 90
414 192 751
192 414 751
127 468 367
468 127 367
401 263 554
263 401 554
56 116 721
116 56 721
307 485 364
485 307 364
64 487 472
487 64 472
2 372 944
372 2 944
385 415 150
415 385 150
0 321 706
321 0 706
116 43 13
43 116 13
102 259 647
259 102 647
486 402 553
402 486 553
129 53 968
53 129 968
322 276 725
276 322 725
91 193 773
193 91 773
40 490 430
490 40 430
361 196 547
196 361 547
256 210 649
210 256 649
16 209 931
209 16 931
191 47 333
47 191 333
298 225 678
225 298 678
118 278 107
278 118 107
247 457 724
457 247 724
29 349 714
349 29 714
460 210 763
210 460 763
7 467 825
467 7 825
8 335 534
335 8 534
439 378 933
378 439 933
124 123 558
123 124 558
88 393 478
393 88 478
47 186 385
186 47 385
231 71 632
71 231 632
188 295 14
295 188 14
125 333 419
333 125 419
269 256 959
256 269 959
179 31 808
31 179 808
267 277 638
277 267 638
23 46 534
46 23 534
330 22 476
22 330 476
192 348 928
348 192 928
347 267 874
267 347 874
453 103 358
103 453 358
438 224 466
224 438 466
350 57 170
57 350 170
127 48 837
48 127 837
90 71 736
71 90 736
477 431 823
431 477 823
151 203 801
203 151 801
139 208 85
208 139 85
94 418 523
418 94 523
170 385 272
385 170 272
182 95 214
95 182 214
82 433 656
433 82 656
133 437 196
437 133 196
347 495 396
495 347 396
230 59 858
59 230 858
304 209 19
209 304 19
143 399 33
399 143 33
280 404 265
404 280 265
397 275 887
275 397 887
255 418 31
418 255 31
426 397 786
397 426 786
186 265 963
265 186 963
352 357 267
357 352 267
34 154 963
154 34 963
61 480 371
480 61 371
315 219 149
219 315 149
213 5 608
5 213 608
288 138 667
138 288 667
326 403 630
403 326 630
483 487 940
487 483 940
403 285 692
285 403 692
47 98 517
98 47 517
225 19 761
19 225 761
70 133 167
133 70 167
75 241 307
241 75 307
65 409 634
409 65 634
320 391 764
391 320 764
493 226 251
226 493 251
245 189 233
189 245 233
437 236 832
236 437 832
306 313 203
313 306 203
407 125 36
125 407 36
426 52 630
52 426 630
86 118 891
118 86 891
439 69 309
69 439 309
42 325 846
325 42 846
226 132 160
132 226 160
429 51 612
51 429 612
484 455 371
455 484 371
461 491 650
491 461 650
13 473 236
473 13 236
58 8 787
8 58 787
127 317 676
317 127 676
238 211 501
211 238 501
485 96 719
96 485 719
203 492 784
492 203 784
309 22 13
22 309 13
287 172 678
172 287 678
345 32 818
32 345 818
346 415 913
415 346 913
203 185 948
185 203 948
422 222 9
222 422 9
293 494 253
494 293 253
285 325 260
325 285 260
315 171 645
171 315 645
346 331 763
331 346 763
114 314 716
314 114 716
290 423 215
423 290 215
356 217 709
217 356 709
109 149 734
149 109 734
24 251 124
251 24 124
449 224 204
224 449 204
472 369 189
369 472 189
172 68 21
68 172 21
52 50 494
50 52 494
120 464 83
464 120 83
298 266 957
266 298 957
106 445 251
445 106 251
209 69 363
69 209 363
98 371 440
371 98 440
368 377 364
377 368 364
303 57 268
57 303 268
205 403 888
403 205 888
150 410 636
410 150 636
177 441 747
441 177 747
386 362 463
362 386 463
403 138 929
138 403 929
64 482 797
482 64 797
442 198 452
198 442 452
10 254 59
254 10 59
228 478 13
478 228 13
190 16 74
16 190 74
76 379 889
379 76 889
413 464 144
464 413 144
51 393 208
393 51 208
385 42 2
42 385 2
84 347 853
347 84 853
24 183 131
183 24 131
3 196 207
196 3 207
329 238 75
238 329 75
306 144 79
144 306 79
497 220 911
220 497 911
351 156 758
156 351 758
57 411 115
411 57 115
356 272 602
272 356 602
39 255 605
255 39 605
87 462 287
462 87 287
177 390 690
390 177 690
343 196 687
196 343 687
275 319 475
319 275 475
258 188 824
188 258 824
330 99 176
99 330 176
487 357 85
357 487 85
398 324 953
324 398 953
476 32 225
32 476 225
79 423 981
423 79 981
36 10 295
10 36 295
37 366 382
366 37 382
28 267 593
267 28 593
192 381 937
381 192 937
401 466 335
466 401 335
77 419 164
419 77 164
243 384 830
384 243 830
131 394 125
394 131 125
455 433 515
433 455 515
321 316 249
316 321 249
374 325 6
325 374 6
254 93 600
93 254 600
459 191 644
191 459 644
192 128 898
128 192 898
158 315 827
315 158 827
430 331 789
331 430 789
173 109 558
109 173 558
13 353 101
353 13 101
334 21 702
21 334 702
60 347 709
347 60 709
161 274 983
274 161 983
157 466 463
466 157 463
130 383 259
383 130 259
462 172 538
172 462 538
499 298 765
298 499 765
471 39 497
39 471 497
344 241 409
241 344 409
191 450 224
450 191 224
483 463 350
463 483 350
116 411 756
411 116 756
78 435 646
435 78 646
318 281 645
281 318 645
469 398 583
398 469 583
280 369 622
369 280 622
130 214 363
214 130 363
166 115 593
115 166 593
481 465 263
465 481 263
102 134 397
134 102 397
13 42 240
42 13 240
443 478 886
478 443 886
384 82 861
82 384 861
345 297 804
297 345 804
236 406 322
406 236 322
304 317 763
317 304 763
406 303 512
303 406 512
262 265 285
265 262 285
468 435 169
435 468 169
409 280 466
280 409 466
214 16 725
16 214 725
388 368 224
368 388 224
192 38 339
38 192 339
451 193 851
193 451 851
340 480 580
480 340 580
124 359 900
359 124 900
38 315 478
315 38 478
406 402 947
402 406 947
208 473 742
473 208 742
274 341 467
341 274 467
158 145 586
145 158 586
167 475 689
475 167 689
419 214 166
214 419 166
457 29 997
29 457 997
215 283 296
283 215 296
408 207 504
207 408 504
279 75 768
75 279 768
294 489 811
489 294 811
1 441 194
441 1 194
64 300 134
300 64 134
200 272 29
272 200 29
82 121 244
121 82 244
5 424 774
424 5 774
345 199 154
199 345 154
95 203 860
203 95 860
488 358 704
358 488 704
477 441 492
441 477 492
210 368 190
368 210 190
486 142 281
142 486 281
64 47 446
47 64 446
409 246 601
246 409 601
196 474 659
474 196 659
3 240 533
240 3 533
415 151 862
151 415 862
356 143 813
143 356 813
393 353 33
353 393 33
436 340 675
340 436 675
74 163 665
163 74 665
172 264 936
264 172 936
43 424 12
424 43 12
224 427 252
427 224 252
110 194 903
194 110 903
324 50 47
50 324 47
489 296 752
296 489 752
22 232 944
232 22 944
295 229 154
229 295 154
266 394 416
394 266 416
247 289 840
289 247 840
267 300 569
300 267 569
166 290 865
290 166 865
419 164 97
164 419 97
215 66 546
66 215 546
416 189 10
189 416 10
455 485 56
485 455 56
248 314 141
314 248 141
469 387 945
387 469 945
112 411 321
411 112 321
383 428 770
428 383 770
98 494 316
494 98 316
366 35 678
35 366 678
270 344 179
344 270 179
255 252 382
252 255 382
382 1 696
1 382 696
466 268 635
268 466 635
229 441 370
441 229 370
379 39 539
39 379 539
58 392 911
392 58 911
443 435 489
435 443 489
342 373 545
373 342 545
415 99 890
99 415 890
228 122 208
122 228 208
348 110 937
110 348 937
142 332 595
332 142 595
353 153 98
153 353 98
437 253 971
253 437 971
173 196 906
196 173 906
14 21 576
21 14 576
474 124 697
124 474 697
319 424 552
424 319 552
308 400 119
400 308 119
312 248 480
248 312 480
101 1 451
1 101 451
70 138 350
138 70 350
168 112 974
112 168 974
365 180 30
180 365 30
37 104 582
104 37 582
318 317 481
317 318 481
284 126 881
126 284 881
170 191 1
191 170 1
297 388 62
388 297 62
438 311 700
311 438 700
345 344 144
344 345 144
79 52 118
52 79 118
60 337 596
337 60 596
293 93 685
93 293 685
22 61 331
61 22 331
480 454 476
454 480 476
419 117 177
117 419 177
193 26 293
26 193 293
27 190 601
190 27 601
316 434 911
434 316 911
391 335 825
335 391 825
162 304 354
304 162 354
74 401 399
401 74 399
100 46 789
46 100 789
332 76 358
76 332 358
492 441 331
441 492 331
101 100 545
100 101 545
394 121 124
121 394 124
256 427 631
427 256 631
433 441 936
441 433 936
189 39 115
39 189 115
87 328 590
328 87 590
5 459 554
459 5 554
451 352 33
352 451 33
428 267 441
267 428 441
463 211 197
211 463 197
131 184 630
184 131 630
270 199 671
199 270 671
309 167 759
167 309 759
490 257 624
257 490 624
2 275 848
275 2 848
7 234 754
234 7 754
317 146 558
146 317 558
22 179 486
179 22 486
449 0 669
0 449 669
44 194 800
194 44 800
348 232 798
232 348 798
459 222 555
222 459 555
286 65 918
65 286 918
236 65 587
65 236 587
132 111 740
111 132 740
15 491 841
491 15 841
247 290 800
290 247 800
232 372 335
372 232 335
1 263 89
263 1 89
268 63 365
63 268 365
66 350 430
350 66 430
336 438 347
438 336 347
282 451 382
451 282 382
273 292 482
292 273 482
415 93 304
93 415 304
113 181 55
181 113 55
197 54 742
54 197 742
50 317 832
317 50 832
170 232 549
232 170 549
236 82 332
82 236 332
72 20 679
20 72 679
199 90 490
90 199 490
215 372 942
372 215 942
86 431 413
431 86 413
142 75 619
75 142 619
295 20 970
20 295 970
383 103 302
103 383 302
307 123 982
123 307 982
7 214 824
214 7 824
455 350 736
350 455 736
42 228 301
228 42 301
195 77 229
77 195 229
165 460 332
460 165 332
468 268 955
268 468 955
302 275 521
275 302 521
126 349 460
349 126 460
396 302 179
302 396 179
246 390 722
390 246 722
112 385 264
385 112 264
193 402 745
402 193 745
6 234 65
234 6 65
126 41 367
41 126 367
253 63 846
63 253 846
102 375 91
375 102 91
326 271 745
271 326 745
358 370 135
370 358 135
432 197 827
197 432 827
43 180 792
180 43 792
465 360 490
360 465 490
367 457 348
457 367 348
453 23 974
23 453 974
494 390 227
390 494 227
409 236 181
236 409 181
359 408 424
408 359 424
217 278 912
278 217 912
149 475 739
475 149 739
44 7 531
7 44 531
472 303 996
303 472 996
184 145 715
145 184 715
276 496 579
496 276 579
413 27 439
27 413 439
321 304 508
304 321 508
99 216 510
216 99 510
426 307 554
307 426 554
285 339 379
339 285 379
88 187 415
187 88 415
86 403 57
403 86 57
431 71 74
71 431 74
251 438 834
438 251 834
149 215 830
215 149 830
209 20 449
20 209 449
365 380 400
380 365 400
297 463 580
463 297 580
489 170 501
170 489 501
273 94 575
94 273 575
24 32 409
32 24 409
25 247 591
247 25 591
106 375 153
375 106 153
18 7 576
7 18 576
100 249 254
249 100 254
341 46 717
46 341 717
421 74 621
74 421 621
188 18 462
18 188 462
235 305 946
305 235 946
111 189 356
189 111 356
137 437 299
437 137 299
243 164 804
164 243 804
222 341 323
341 222 323
229 269 275
269 229 275
468 377 93
377 468 93
389 451 66
451 389 66
429 469 529
469 429 529
264 297 787
297 264 787
228 339 495
339 228 495
365 276 794
276 365 794
451 182 133
182 451 133
274 263 903
263 274 903
279 369 471
369 279 471
372 258 422
258 372 422
32 84 936
84 32 936
164 20 366
20 164 366
161 342 941
342 161 941
464 24 426
24 464 426
238 288 329
288 238 329
139 234 960
234 139 960
360 205 333
205 360 333
470 479 124
479 470 124
9 223 796
223 9 796
232 75 679
75 232 679
249 447 46
447 249 46
130 96 559
96 130 559
472 389 23
389 472 23
261 489 497
489 261 497
252 223 457
223 252 457
443 483 414
483 443 414
337 291 499
291 337 499
264 470 748
470 264 748
230 11 427
11 230 427
55 400 450
400 55 450
404 68 563
68 404 563
245 65 667
65 245 667
468 22 131
22 468 131
248 17 565
17 248 565
359 135 861
135 359 861
342 402 550
402 342 550
133 401 666
401 133 666
456 1 229
1 456 229
324 231 241
231 324 241
104 138 993
138 104 993
54 42 561
42 54 561
470 139 626
139 470 626
489 107 501
107 489 501
473 207 518
207 473 518
38 67 153
67 38 153
251 261 555
261 251 555
153 247 808
247 153 808
319 203 809
203 319 809
49 379 393
379 49 393
142 483 531
483 142 531
135 390 426
390 135 426
197 212 565
212 197 565
175 201 25
201 175 25
176 174 584
174 176 584
194 65 503
65 194 503
416 141 567
141 416 567
77 42 446
42 77 446
322 184 282
184 322 282
206 320 172
320 206 172
484 369 384
369 484 384
437 426 721
426 437 721
267 177 718
177 267 718
319 345 835
345 319 835
427 167 699
167 427 699
195 309 266
309 195 266
124 351 65
351 124 65
199 5 560
5 199 560
371 341 429
341 371 429
473 44 21
44 473 21
46 8 236
8 46 236
166 185 954
185 166 954
485 31 790
31 485 790
264 50 841
50 264 841
459 359 108
359 459 108
436 63 525
63 436 525
235 451 224
451 235 224
92 11 447
11 92 447
433 292 406
292 433 406
175 117 302
117 175 302
330 496 739
496 330 739
167 379 881
379 167 881
222 391 141
391 222 141
135 6 722
6 135 722
14 340 319
340 14 319
132 143 867
143 132 867
302 243 997
243 302 997
34 476 429
476 34 429
316 50 673
50 316 673
352 218 644
218 352 644
280 125 800
125 280 800
214 269 166
269 214 166
150 50 455
50 150 455
298 356 459
356 298 459
480 158 554
158 480 554
382 259 712
259 382 712
433 284 374
284 433 374
18 489 592
489 18 592
162 108 669
108 162 669
321 9 502
9 321 502
442 138 466
138 442 466
250 289 822
289 250 822
209 269 832
269 209 832
211 441 783
441 211 783
347 315 653
315 347 653
316 444 429
444 316 429
110 178 602
178 110 602
471 32 590
32 471 590
387 327 581
327 387 581
353 77 370
77 353 370
175 286 991
286 175 991
8 254 443
254 8 443
154 178 888
178 154 888
1 346 542
346 1 542
210 282 886
282 210 886
172 312 489
312 172 489
144 197 79
197 144 79
31 24 12
24 31 12
382 412 739
412 382 739
226 420 346
420 226 346
169 9 451
9 169 451
175 40 691
40 175 691
176 386 585
386 176 585
366 343 647
343 366 647
1 230 320
230 1 320
165 219 816
219 165 816
15 436 543
436 15 543
135 475 121
475 135 121
481 144 131
144 481 131
284 319 671
319 284 671
475 348 909
348 475 909
252 60 419
60 252 419
482 232 85
232 482 85
53 400 651
400 53 651
56 100 742
100 56 742
71 36 285
36 71 285
320 237 272
237 320 272
296 359 253
359 296 253
292 342 37
342 292 37
464 13 865
13 464 865
312 422 278
422 312 278
230 26 690
26 230 690
150 9 423
9 150 423
312 118 566
118 312 566
49 242 714
242 49 714
358 102 385
102 358 385
322 467 250
467 322 250
486 389 528
389 486 528
217 416 219
416 217 219
367 277 994
277 367 994
454 43 317
43 454 317
192 366 93
366 192 93
25 111 257
111 25 257
95 419 85
419 95 85
115 230 602
230 115 602
184 498 821
498 184 821
51 127 167
127 51 167
357 171 484
171 357 484
49 389 929
389 49 929
426 352 186
352 426 186
421 234 845
234 421 845
67 116 478
116 67 478
141 83 561
83 141 561
243 267 911
267 243 911
416 170 391
170 416 391
349 355 655
355 349 655
387 128 241
128 387 241
84 491 923
491 84 923
200 88 410
88 200 410
190 7 878
7 190 878
168 148 961
148 168 961
81 243 580
243 81 580
345 159 602
159 345 602
236 242 981
242 236 981
150 14 410
14 150 410
453 215 117
215 453 117
460 102 97
102 460 97
441 125 739
125 441 739
429 388 766
388 429 766
450 389 79
389 450 79
383 132 12
132 383 12
228 144 614
144 228 614
96 114 752
114 96 752
467 327 880
327 467 880
434 461 717
461 434 717
411 200 598
200 411 598
298 482 487
482 298 487
416 432 728
432 416 728
496 315 860
315 496 860
8 44 4
44 8 4
122 360 95
360 122 95
70 475 847
475 70 847
280 246 667
246 280 667
459 478 89
478 459 89
236 412 902
412 236 902
454 52 826
52 454 826
436 391 742
391 436 742
220 119 90
119 220 90
130 128 866
128 130 866
297 87 844
87 297 844
277 136 595
136 277 595
57 104 191
104 57 191
147 492 22
492 147 22
98 424 210
